	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
Loeys Dietz syndrome due to TGFBR1 deficiency_TGFBR1_AD	Loeys Dietz syndrome due to TGFBR1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD	609192	TGFBR1	TGFBR1	7046	Recurrent respiratory infectons, eczema, food allergies, hyperextensible joints, scoliosis, retention of primary teeths, aortic anuerysms.	Normal	Normal	Increased IgE	Normal	nan	['Galunisertib: D10437']	['hsa04010  MAPK signaling pathway', 'hsa04060  Cytokine-cytokine receptor interaction', 'hsa04068  FoxO signaling pathway', 'hsa04144  Endocytosis', 'hsa04218  Cellular senescence', 'hsa04350  TGF-beta signaling pathway', 'hsa04371  Apelin signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04390  Hippo signaling pathway', 'hsa04520  Adherens junction', 'hsa04659  Th17 cell differentiation', 'hsa04926  Relaxin signaling pathway', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05142  Chagas disease', 'hsa05161  Hepatitis B', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05210  Colorectal cancer', 'hsa05212  Pancreatic cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05225  Hepatocellular carcinoma', 'hsa05226  Gastric cancer', 'hsa05415  Diabetic cardiomyopathy']	['HP:0000006', 'HP:0012393', 'HP:0002617', 'HP:0000964', 'HP:0002715', 'HP:0001051', 'HP:0011947', 'HP:0004942', 'HP:0003212', 'HP:0002205', 'HP:0500093', 'HP:0002650', 'HP:0001382']
Loeys Dietz syndrome due to TGFBR2 deficiency_TGFBR2_AD	Loeys Dietz syndrome due to TGFBR2 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AD	610168	TGFBR2	TGFBR2	7048	Recurrent respiratory infectons, eczema, food allergies, hyperextensible joints, scoliosis, retention of primary teeths, aortic anuerysms.	Normal	Normal	Increased IgE	Normal	nan	['Bintrafusp alfa: D11893']	['hsa04010  MAPK signaling pathway', 'hsa04060  Cytokine-cytokine receptor interaction', 'hsa04068  FoxO signaling pathway', 'hsa04144  Endocytosis', 'hsa04218  Cellular senescence', 'hsa04350  TGF-beta signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04390  Hippo signaling pathway', 'hsa04520  Adherens junction', 'hsa04659  Th17 cell differentiation', 'hsa04926  Relaxin signaling pathway', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05142  Chagas disease', 'hsa05161  Hepatitis B', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05202  Transcriptional misregulation in cancer', 'hsa05210  Colorectal cancer', 'hsa05212  Pancreatic cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05225  Hepatocellular carcinoma', 'hsa05226  Gastric cancer', 'hsa05415  Diabetic cardiomyopathy']	['HP:0000006', 'HP:0012393', 'HP:0002617', 'HP:0000964', 'HP:0002715', 'HP:0001051', 'HP:0011947', 'HP:0004942', 'HP:0003212', 'HP:0002205', 'HP:0500093', 'HP:0002650', 'HP:0001382']
ZNF341 deficiency AR-HIES_ZNF341_AR	ZNF341 deficiency AR-HIES	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	AR	618282	ZNF341	ZNF341	84905	Bacterial infections, mild facial dysmorphism, pneumatoceles, hyperextensible joints, bone fractures, retention of primary teeth	Decreased Th17 cells	Decreased memory B cells	High IgE and IgG	Normal	nan	[]	[]	['HP:0003237', 'HP:0020110', 'HP:0002715', 'HP:0001051', 'HP:0001999', 'HP:0000007', 'HP:0003212', 'HP:0001382']
Methylene-tetrahydrofolate dehydrogenase 1 (MTHFD1) deficiency_MTHFD1_AR	Methylene-tetrahydrofolate dehydrogenase 1 (MTHFD1) deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	AR	172460	MTHFD1	MTHFD1	4522	Recurrent bacterial infection, Pneumocystis jirovecii, megaloblastic anemia, failure to thrive, neutropenia, seizures, intellectual disability, folate-responsive	Low thymic output, normal in vitro proliferation	Low	Low	Low	nan	[]	['hsa00670  One carbon pool by folate', 'hsa01100  Metabolic pathways', 'hsa01240  Biosynthesis of cofactors']	['HP:0002718', 'HP:0001508', 'HP:0002715', 'HP:0010976', 'HP:0012335', 'HP:0001903', 'HP:0000007', 'HP:0001889', 'HP:0001250', 'HP:0001875', 'HP:0001249', 'HP:0004313']
SLC46A1/PCFT deficiency causing hereditary folate malabsorbtion_SLC46A1_AR	SLC46A1/PCFT deficiency causing hereditary folate malabsorbtion	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	AR	229050	SLC46A1	SLC46A1	113235	Megaloblastic anemia, failure to thrive, if untreated for prolonged periods results in intellectual disability	Variable numbers and activation profile	Variable	Low	nan	nan	[]	['hsa01523  Antifolate resistance', 'hsa04977  Vitamin digestion and absorption', 'hsa04978  Mineral absorption']	['HP:0001508', 'HP:0002715', 'HP:0012335', 'HP:0001903', 'HP:0000007', 'HP:0001889', 'HP:0001249', 'HP:0004313']
Transcobalamin 2 deficiency_TCN2_AR	Transcobalamin 2 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	AR	613441	TCN2	TCN2	6948	Megaloblastic anemia, pancytopenia, if untreated for prolonged periods results in intellectual disability	Normal	Variable	Low	Variable	nan	[]	['hsa04977  Vitamin digestion and absorption']	['HP:0002715', 'HP:0012335', 'HP:0001903', 'HP:0000007', 'HP:0001889', 'HP:0001249', 'HP:0004313', 'HP:0001876']
EDA-ID due to IKBKB GOF mutation_IKBKB_AD GOF	EDA-ID due to IKBKB GOF mutation	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	AD GOF	618204	IKBKB	IKBKB	3551	Recurrent bacterial, viral, fungal infections, variable ectodermal defects	Low	Normal count, poor function	Low	nan	nan	['Ertiprotafib: D04050']	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04068  FoxO signaling pathway', 'hsa04150  mTOR signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04722  Neurotrophin signaling pathway', 'hsa04910  Insulin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04930  Type II diabetes mellitus', 'hsa04931  Insulin resistance', 'hsa04932  Non-alcoholic fatty liver disease', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05206  MicroRNAs in cancer', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000006', 'HP:0002715', 'HP:0004313', 'HP:0005403', 'HP:0000968']
EDA-ID due to NEMO /IKBKG deficiency (ectodermal dysplasia, immune deficiency)_IKBKG_XL	EDA-ID due to NEMO /IKBKG deficiency (ectodermal dysplasia, immune deficiency)	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	XL	300248	IKBKG	IKBKG	8517	Anhidrotic ectodermal dysplasia (in some), various infections (bacteria, mycobacteria, viruses and fungi), colitis, conical teeth, variable defects of skin, hair and teeth, monocyte dysfunction	Normal or decreased, TCR activation impaired	Normal, Low memory and isotype switched B cells	Decreased, some with elevated IgA, IgM, poor specific antibody responses, absent antibody to polysaccharide antigens	nan	Poor NK function	[]	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05340  Primary immunodeficiency', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0031404', 'HP:0002583', 'HP:0002715', 'HP:0003496', 'HP:0000698', 'HP:0410299', 'HP:0007476', 'HP:0004313', 'HP:0001417', 'HP:0003261', 'HP:0000968']
EDA-ID due to IKBA GOF_NFKBIA_AD GOF	EDA-ID due to IKBA GOF	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)	AD GOF	164008	NFKBIA	NFKBIA	4792	Anhidrotic ectodermal dysplasia,  various infections (bacteria, mycobacteria, viruses and fungi), colitis, variable defects of skin, hair and teeth, T cell and monocyte dysfunction	Normal total T cells, TCR activation impaired	Normal B cell numbers, impaired BCR activation, low memory and isotype switched B cells	Decreased IgG and IgA, elevated IgM, poor specific antibody responses, absent antibody to polysaccharide antigens	nan	nan	[]	['hsa04024  cAMP signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04722  Neurotrophin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04926  Relaxin signaling pathway', 'hsa04931  Insulin resistance', 'hsa04936  Alcoholic liver disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05134  Legionellosis', 'hsa05135  Yersinia infection', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis']	['HP:0031404', 'HP:0000006', 'HP:0002583', 'HP:0002715', 'HP:0002720', 'HP:0003496', 'HP:0004315', 'HP:0007476', 'HP:0410299', 'HP:0000968']
CRACR2A deficiency_CRACR2A_AR	CRACR2A deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	AR		CRACR2A	CRACR2A	84766	Later onset chronic diarrhea, recurrent lower respiratory tract infections, including pneumonia. Poor T cell activation/proliferation in vitro	Mild CD4 T cell lymphopenia (low naïve CD4 T). Normal NK cell numbers	Normal B cell numbers, low switched memory B cells	Panhypogamma (IgG, undetectable; IgM, IgA low).  intact B cell function in vitro	nan	nan	[]	[]	['HP:0002783', 'HP:0011947', 'HP:0002028', 'HP:0002014', 'HP:0002720', 'HP:0000007', 'HP:0002090', 'HP:0002850', 'HP:0004315']
ORAI-1 deficiency_ORAI1_AR	ORAI-1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	AR	610277	ORAI1	ORAI1	84876	Autoimmunity, EDA, non-progressive myopathy	Normal, defective TCR mediated activation	Normal	Normal	nan	nan	[]	['hsa04020  Calcium signaling pathway', 'hsa04024  cAMP signaling pathway', 'hsa04611  Platelet activation', 'hsa04924  Renin secretion', 'hsa04925  Aldosterone synthesis and secretion', 'hsa04927  Cortisol synthesis and secretion', 'hsa04934  Cushing syndrome', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0002960', 'HP:0000007', 'HP:0003198', 'HP:0007476', 'HP:0000968']
STIM1 deficiency_STIM1_AR	STIM1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	AR	605921	STIM1	STIM1	6786	Autoimmunity, EDA, non-progressive myopathy	Normal, defective TCR mediated activation	Normal	Normal	nan	nan	[]	['hsa04020  Calcium signaling pathway', 'hsa04611  Platelet activation']	['HP:0002715', 'HP:0002960', 'HP:0000007', 'HP:0003198', 'HP:0007476', 'HP:0000968']
BCL11B deficiency_BCL11B_AD	BCL11B deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	AD	617237	BCL11B	BCL11B	64919	Congenital abnormalities, neonatal teeth, dysmorphic facies, absent corpus callosum, neurocognitive deficits	Low	Normal	Normal	nan	nan	[]	['hsa05202  Transcriptional misregulation in cancer']	['HP:0000006', 'HP:0002715', 'HP:0001999', 'HP:0000695', 'HP:0001274', 'HP:0005403']
Hennekam-lymphangiectasia-lymphedema syndrome due to CCBE1 deficiency_CCBE1_AR	Hennekam-lymphangiectasia-lymphedema syndrome due to CCBE1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	AR	612753	CCBE1	CCBE1	147372	Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features	Low/variable	Low/variable	nan	nan	nan	[]	[]	['HP:0031842', 'HP:0002715', 'HP:0010976', 'HP:0000271', 'HP:0001004', 'HP:0000007']
CD28 deficiency_CD28_AR	CD28 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	AR		CD28	CD28	940	HPV susceptibility	Normal numbers of T and myeloid cells with decreased NK cells	Normal numbers of total B cells and subsets	Normal serum IgM, G, A; • intact levels of pathogen-spec IgG	nan	nan	['Acazicolcept: D12300', 'Reltecimod (DG02994): D11281 D11348']	['hsa04514  Cell adhesion molecules', 'hsa04660  T cell receptor signaling pathway', 'hsa04672  Intestinal immune network for IgA production', 'hsa04940  Type I diabetes mellitus', 'hsa05162  Measles', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05320  Autoimmune thyroid disease', 'hsa05322  Systemic lupus erythematosus', 'hsa05323  Rheumatoid arthritis', 'hsa05330  Allograft rejection', 'hsa05332  Graft-versus-host disease', 'hsa05416  Viral myocarditis']	['HP:0000007']
DIAPH1 deficiency_DIAPH1_AR	DIAPH1 deficiency	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	AR		DIAPH1	DIAPH1	1729	"seizures, cortical blindness, microcephaly syndrome (SCBMS).
Recurrent bacterial, viral, fungal infections, B-lymphoma.  Decreased T cell activation/proliferation in vitro,  impaired adhesion/MTOC repositioning to immune synapse, defective cytoskeletal organization and mitochondrial dysfunction in SCBMS pathogenesis"	Decreased naive T cells, RTEs	hi naïve/transitional, low memory	"Low IgM, normal IgG, variable IgA.
Near normal vaccine resp"	nan	nan	[]	['hsa04510  Focal adhesion', 'hsa04810  Regulation of actin cytoskeleton', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa05131  Shigellosis']	['HP:0000618', 'HP:0030374', 'HP:0003287', 'HP:0000007', 'HP:0001250', 'HP:0100704', 'HP:0002665', 'HP:0000252']
